level,what,area,bandwidth,n,type,season,year
0.95,estimate,23787170046,13454.55788,3082,gps,autumn,2011
0.9,estimate,19527318645,13454.55788,3082,gps,autumn,2011
0.5,estimate,6735965642,13454.55788,3082,gps,autumn,2011
0.95,estimate,17898254133,11417.65784,1694,gps,autumn,2012
0.9,estimate,15067963644,11417.65784,1694,gps,autumn,2012
0.5,estimate,5566447254,11417.65784,1694,gps,autumn,2012
0.95,estimate,35504390460,16939.348,1154,gps,autumn,2013
0.9,estimate,29257386390,16939.348,1154,gps,autumn,2013
0.5,estimate,7875557703,16939.348,1154,gps,autumn,2013
0.95,estimate,23378041901,10766.18384,5135,gps,autumn,2014
0.9,estimate,19590696074,10766.18384,5135,gps,autumn,2014
0.5,estimate,6481188711,10766.18384,5135,gps,autumn,2014
0.95,estimate,23013468809,9038.076748,10397,gps,autumn,2015
0.9,estimate,18835266888,9038.076748,10397,gps,autumn,2015
0.5,estimate,6254468522,9038.076748,10397,gps,autumn,2015
0.95,estimate,16635787536,7144.601365,13881,gps,autumn,2016
0.9,estimate,13499404493,7144.601365,13881,gps,autumn,2016
0.5,estimate,5098824676,7144.601365,13881,gps,autumn,2016
0.95,estimate,23886184140,9203.498775,14121,gps,autumn,2017
0.9,estimate,20483582020,9203.498775,14121,gps,autumn,2017
0.5,estimate,8543867312,9203.498775,14121,gps,autumn,2017
0.95,estimate,21978162797,9330.619189,15142,gps,autumn,2018
0.9,estimate,18668732746,9330.619189,15142,gps,autumn,2018
0.5,estimate,6260421212,9330.619189,15142,gps,autumn,2018
0.95,estimate,19675313667,8753.409369,10806,gps,autumn,2019
0.9,estimate,16446802974,8753.409369,10806,gps,autumn,2019
0.5,estimate,6729088689,8753.409369,10806,gps,autumn,2019
0.95,estimate,25145794207,11891.81427,5677,gps,autumn,2020
0.9,estimate,21611948661,11891.81427,5677,gps,autumn,2020
0.5,estimate,7866897152,11891.81427,5677,gps,autumn,2020
0.95,estimate,8087668674,8181.018338,1191,gps,calving,2011
