LC,allDecShrub_count_0,allDecShrub_count_1,allDecShrub_count_2,allDecShrub_count_neg1,allDecShrub_count_neg2,allEvShrub_count_0,allEvShrub_count_1,allEvShrub_count_2,allEvShrub_count_neg1,allEvShrub_count_neg2,allForb_count_0,allForb_count_1,allForb_count_2,allForb_count_neg1,allForb_count_neg2,alnshr_count_0,alnshr_count_1,alnshr_count_2,alnshr_count_neg1,alnshr_count_neg2,betshr_count_0,betshr_count_1,betshr_count_2,betshr_count_neg1,betshr_count_neg2,caribou_density,graminoid_count_0,graminoid_count_1,graminoid_count_2,graminoid_count_neg1,graminoid_count_neg2,salshr_count_0,salshr_count_1,salshr_count_2,salshr_count_neg1,salshr_count_neg2,season,tmlichen_count_0,tmlichen_count_1,tmlichen_count_2,tmlichen_count_neg1,tmlichen_count_neg2
LC1,710226.2314,483628.9804,255185.949,121124.8039,48859.63137,828939.5294,277207.0588,53178.94902,406087.3098,53612.74902,1191723.133,323533.7176,31287.01176,68712.4,3769.333333,460090.3451,935254.9765,115016.4353,108264.3059,399.5333333,1170877.463,155135.3294,21846.65882,218611.5686,52554.57647,1,1603904.843,6790.376471,1322.94902,6387.427451,620,1156910.898,174473.5216,730.6509804,284868.1176,2042.407843,precalving,574712.2196,145525.2196,23479.87059,834141.5569,41166.72941
LC2,107,179,39,206,64,226,43,57,258,11,513,53,5,24,,96,236,46,166,51,235,148,44,134,34,1,470,17,52,41,15,255,106,10,189,35,precalving,277,30,45,222,21
LC3,1574.886275,1143,282,613.6745098,343,2659.560784,525,78,651,43,2690.560784,780,35,399,52,788,1914.67451,204,1005.886275,44,2649.886275,643,63,509.6745098,91,1,3415.886275,152,48,312.6745098,28,2296.886275,391.6745098,18,1164,86,precalving,2884.886275,293.6745098,46,700,32
LC4,973930.1412,1245575.051,252714.7804,357803.0275,51106.1098,974507.5176,1071825.286,61453.62745,754599.6627,18743.01569,2281700.412,374247.0549,23135.87451,197744.3765,4301.392157,1703259.541,951693.2431,52830.8902,172921.4353,424,1084240.098,848535.1765,107589.3529,772814.9294,67949.55294,1,1944996.675,217576.1647,10846.95294,591922.549,115786.7686,1730325.094,586624.498,1883.32549,557334.3176,4961.87451,precalving,928955.1922,517214.149,49201.50588,1326345.796,59412.46667
LC5,261880.6431,353822.1373,20589.10196,230906.0784,14051.8,222485.3686,332267.8784,8004.12549,314950.5843,3541.803922,710660.302,108750.4118,862,59336.32549,1640.721569,698168.9255,133627.3451,13094.60784,35582.88235,776,223751.6824,320292.2196,16424.50588,304416.5686,16364.78431,1,335705.6196,150034.9961,2993.976471,366183.0863,26332.08235,468691.6039,191353.0627,1203.654902,216359.5137,3641.92549,precalving,311526.6627,205720.4431,14661.27451,330356.651,18984.72941
LC6,41020.67843,118180.5765,13415.13725,64843.50588,5178.498039,71253.40784,108984.9451,20492.66667,39363.37647,2544,205968.3373,16913.1451,702.8627451,15457.72549,3596.32549,141990.4118,72783.29412,10484.2,16592.4902,788,42457.14902,100925.4392,14058.12157,76312.86275,8884.823529,1,58546.51765,30917.88627,2346.921569,126957.149,23869.92157,55420.68627,53643.83529,1270,124481.4157,7822.458824,precalving,192254.0902,16772.73725,3180.764706,28278.80392,2152
LC7,14562.6,19011.05098,1193,11601.53333,275,12511.46275,19474.88235,276,14154.83922,226,40384.7451,4326.541176,68,1834.898039,29,37612.18431,6925,993,1083,30,11898.25882,18795.91765,800,14545.00784,604,1,23484.02353,7703.227451,253,13799.93333,1403,26517.92941,8845.011765,78,10916.24314,286,precalving,13640.30588,12163.79216,368,19739.08627,732
LC8,178611.0353,264249.8353,16405.76863,144280.8235,4624.858824,174085.7373,236747.5569,10601.98039,185013.4627,1723.584314,502950.6,54537.71765,1203,45402.37647,4078.627451,517121.1765,54417.23137,18586.52157,16511.39216,1536,169317.6314,230430.8275,18512.77255,182845.5059,7065.584314,1,213803.2706,138872.1647,4544.258824,239483.3294,11469.29804,295941.4667,129343.1647,2045.301961,175110.7804,5731.607843,precalving,190206.8118,176698.2824,6731.898039,221038.7451,13496.58431
LC9,59311.03137,111752.9451,2386.996078,69804.80392,1224,65310.52941,97229.59608,721,80951.65098,267,215082.7843,19548.02353,105,9656.968627,87,205347.6471,24399.48235,6450.423529,7814.223529,468,54193.61569,98871.92941,2559.752941,86610.8549,2243.623529,1,81843.99608,50358.63137,264,109506.2196,2506.929412,113113.0118,55189.68235,388,74362.08235,1427,precalving,75545.68235,52987.6902,1352,110309.6431,4284.760784
LC10,252678.8078,192134.4745,43004.04314,94825.87451,9351.968627,158592.1569,260252.7294,20833.74902,150467.7176,1848.815686,442525.7216,60041.03529,1284,77539.8902,10604.52157,547194.2745,29277.89412,3972.992157,11406.00784,144,255330.6275,181346.5569,31265.07059,118898.651,5154.262745,1,228975.8745,134259.0078,6761.666667,206123.4824,15875.13725,318637.9529,115219.1686,1716.945098,150623.1333,5797.968627,precalving,191182.4,202946.4431,21006.67843,170048.3373,6811.309804
LC11,68556.37647,171218.9373,14814.90588,94014.00784,3729.784314,103784.4157,151991.2941,20708.14118,71521.45098,4328.709804,304345.0275,27189.61961,1024.627451,14981.21176,4793.52549,219729.6902,104359.1412,10886.65882,17083.52157,275,71816.12941,131415.6588,13409.93333,121203.5098,14488.78039,1,106468.2078,47656.73333,3956.113725,157598.9529,36654.00392,121460.6784,80180.14118,1875.082353,139547.6078,9270.501961,precalving,240399.7137,38814.54902,5560.556863,64514.19216,3045
LC12,2244,458,186,100.7254902,83,932.7254902,1337,24,752,26,1371.72549,531,27,1048,94,2368.72549,493,106,103,1,1846.72549,597,88,463,77,1,1943.72549,376,55,633,64,2913.72549,123,4,29,2,precalving,1338.72549,358,115,1096,164
LC13,328,2,43,1,,337,18,18,1,,64,23,6,118,163,310,34,3,23,4,320,22,30,2,,1,45,131,118,71,9,141,69,28,93,43,precalving,337,3,32,2,
LC14,55335.27843,8780.815686,6116.317647,4465.513725,538.7647059,27273.49412,29133.09804,2928.929412,15804.16863,97,55449.27843,6178.886275,287,11916.52549,1405,71712.93725,2248.882353,522,706.8705882,46,54145.24706,11787.53333,2915.670588,6070.239216,318,1,52837.4549,12137.8902,3180,6727.345098,354,53048.62745,7688.419608,293,12554.64314,1652,precalving,24864.97647,29603.35294,2655.12549,17783.23529,330
LC15,327,,118,,,295,15,135,,,236,81,21,37,70,317,47,12,52,17,378,17,50,,,1,201,39,198,7,,121,70,17,135,102,precalving,334,13,96,2,
LC1,1294744.561,700398.5451,368164.9333,180656.1608,91333.69804,1415999.643,440179.9176,55439.75686,646131.9961,77546.58431,2386253.525,194288.9098,4464.690196,45828.77255,4462,925621.8392,1450930.173,83375.56863,174996.3176,374,1788959.412,333506.2784,25404.96471,452516.6431,34910.6,2,2579009.533,29125.65882,2366,23958.70588,838,1545444.506,430036.2863,1516,654847.3725,3453.733333,precalving,878867.2039,282061.4627,20263.5451,1370210.09,83895.59608
LC2,109,75,21,83,67,203,44,21,73,14,302,40,2,9,2,65,169,13,97,11,256,34,6,43,16,2,321,11,8,14,1,144,93,10,98,10,precalving,263,17,16,54,5
LC3,1471,1627,187.5529412,832,412,2611.552941,932,59,871,56,3379.552941,837,37,260,16,976,2164,219,1142.552941,28,2566.552941,977,74,772,140,2,3521.552941,262,24,697,25,1846.552941,718,35,1819,111,precalving,2918.552941,421,62,1072,56
LC4,2268134.173,3294658.353,311016.8196,1010316.831,90439.38039,2790952.373,2364137.973,73079.62745,1708822.584,37573,6468015.176,344667.1647,8462.572549,148759.6431,4661,3720439.392,2779435.643,66252.06275,407842.4588,596,2585299.153,2126641.22,156426.1451,1995631.396,110567.6431,2,4929448.918,555198.0431,18560,1368052.482,103306.1137,3709648.376,1592504.478,3444,1661304.702,7664,precalving,1957346.141,1043415.725,31522.72157,3768971.31,173309.6588
