LC,allDecShrub_count_0,allDecShrub_count_1,allDecShrub_count_2,allDecShrub_count_neg1,allDecShrub_count_neg2,allEvShrub_count_0,allEvShrub_count_1,allEvShrub_count_2,allEvShrub_count_neg1,allEvShrub_count_neg2,allForb_count_0,allForb_count_1,allForb_count_2,allForb_count_neg1,allForb_count_neg2,alnshr_count_0,alnshr_count_1,alnshr_count_2,alnshr_count_neg1,alnshr_count_neg2,betshr_count_0,betshr_count_1,betshr_count_2,betshr_count_neg1,betshr_count_neg2,caribou_density,graminoid_count_0,graminoid_count_1,graminoid_count_2,graminoid_count_neg1,graminoid_count_neg2,salshr_count_0,salshr_count_1,salshr_count_2,salshr_count_neg1,salshr_count_neg2,season,tmlichen_count_0,tmlichen_count_1,tmlichen_count_2,tmlichen_count_neg1,tmlichen_count_neg2
LC1,11687.78824,7076.905882,2639.509804,3025.219608,936.8705882,11429.02745,2931.580392,142,10845.68627,18,24375.1451,495,7,463.1490196,26,11913.65098,8961.733333,210.8588235,4277.05098,3,11515.87059,5145.219608,394.8588235,7894.345098,416,1,25027.29412,144,67,120,8,18176.85098,4103.858824,18,3062.584314,5,rut,5579.129412,7054.631373,241.5647059,12384.96863,106
LC2,11,41,7,38,1,21,19,6,52,,96,1,,1,,9,22,6,42,19,15,35,31,17,,1,80,7,4,7,,23,32,7,33,3,rut,34,14,4,45,1
LC3,101,403.9215686,28,109.6745098,2,220.6745098,238.9215686,,185,,547.5960784,22,1,70,4,129,381.5960784,82,50,2,141,263.9215686,23,215.6745098,1,1,365,50,2,212.5960784,15,263,131.6745098,2,243.9215686,4,rut,178,190.5960784,14,253,9
LC4,93994.5098,80287.36863,10322.40392,38979.23529,4346.631373,93599.04706,46756.96471,291,87117.13725,166,194695.6471,12911.06667,100,19888.43529,335,140028.3137,67101.19608,2199.345098,18552.29412,49,82765.3098,62936.76471,3658.505882,76266.76471,2302.803922,1,176787.0941,17514.23137,448.1803922,32258.87059,921.772549,146530.3098,43946.37647,223.4823529,36950.10588,279.8745098,rut,63969.3451,66577.15686,819.1764706,95311.93725,1252.533333
LC5,48420.32941,75513.27451,1620.992157,52333.47843,784.972549,44794.83137,60171.40784,298.6313725,73244.17647,164,151086.6588,19976.60784,214,7285.780392,110,150452.1804,19493.44314,1634.207843,6946.215686,147,42625.38431,69818.22745,3142.25098,61911.69412,1175.490196,1,69437.41569,37992.88627,427,69094.47059,1721.27451,86503.0549,42787.71373,357,48398.28627,626.9921569,rut,45269.78431,45800.00784,880.9333333,84767.68627,1954.635294
LC6,5514.007843,12493.79216,455,8384.290196,136,8788.203922,10533.86275,191,7439.023529,31,21525.67059,3045.952941,15,2342.466667,54,11267.4549,10069.90196,1704.470588,3775.262745,166,5576.945098,10820.81569,719,9615.576471,250.7529412,1,11912.88627,3003.388235,191,10997.81569,878,9408.407843,5837.270588,188,11122.41176,427,rut,9548.462745,5355.152941,416,11291.83137,371.6431373
LC7,4366.968627,3060.603922,130,3054.827451,74,3393.827451,4224,12,3052.572549,4,9590.4,791,5,294,6,9902.4,518,74,190,2,3363.827451,3796.572549,105,3389,32,1,5865.796078,1701,31,3034.603922,54,6587.796078,1748.603922,9,2256,85,rut,3503.796078,3517.603922,32,3586,47
LC8,48865.5451,69449.08235,2975.780392,43508.84706,818,49559.53725,59769.49412,932.4470588,55226.77647,129,136915.102,17487.21569,459,10484.21569,271.7215686,138173.5608,16667.79608,3418.560784,6953.337255,404,46806.91373,62349.42353,6129.815686,49255.89412,1075.207843,1,67580.46667,37476.02745,723,58142.29412,1695.466667,84555.72941,33898.98431,695.7921569,45604.74902,862,rut,46302.85098,53430.04706,1563.313725,62097.56078,2223.482353
LC9,19849.23137,34115.97647,585.9960784,23932.16471,316,21838.46667,26761.03922,83,30071.86275,45,71159.56471,5567.901961,18,2035.901961,18,64674.98431,8588.52549,1719.635294,3593.223529,223,17974.17255,32019.73725,652.9960784,27775.46275,377,1,28433.94902,16019.86275,125,33650.65098,569.9058824,36859.00784,18183.7098,233,23179.65098,344,rut,22986.04314,18979.53725,104,35992.79216,736.9960784
LC10,86551.92157,49036.88235,9339.486275,29817.33333,2603.247059,51745.01176,66896.12941,743.8627451,57926.86667,37,131838.5098,22805.99608,286.945098,21957.41961,460,172615.9922,3598.435294,193,940.4431373,1,80965.74118,51057.54902,5837.898039,38081.29412,1406.388235,1,87085.64314,41050.13333,700.5882353,47789.59608,722.9098039,101434.2745,32790.04314,211.945098,42311.60784,601,rut,43708.69804,65587.67451,2296.694118,64106.79608,1649.007843
LC11,12204.9451,16714.2,425,16109.33333,135,15661.05098,16577.43137,143,13179.99608,27,39330.37255,3913.137255,33,2256.968627,55,33264.61569,9212.862745,543,2561,7,11591.4902,16648.66275,622.7686275,16313.55686,412,1,22476.90196,7310.090196,268.5803922,14708.43922,824.4666667,21635.58039,9445.105882,170,13766.79216,571,rut,14737.59216,11821.48235,449.6078431,18330.08235,249.7137255
LC12,11,6,4,7,1,7,10,,12,,16,7,,6,,16,10,1,2,,11,5,,12,1,1,23,4,,2,,26,3,,,,rut,8,6,1,14,
LC13,4,,1,,,,,5,,,2,2,,1,,5,,,,,5,,,,,1,2,,1,,2,,3,,2,,rut,,,5,,
LC14,55903.62745,6699.839216,2867.345098,4440.043137,722.7568627,26745.41961,25975.15686,315.8235294,17555.21176,42,53333.23529,6127.011765,82,10921.36471,170,69649.6902,745.4470588,51,187.4745098,,53946.99608,9213.270588,1901.168627,5160.470588,411.7058824,1,52653.69412,11080.28235,481,6213.635294,205,50302.94902,7840.760784,163,11786.90196,540,rut,19981.05098,31023.5098,1188.341176,18322.87059,117.8392157
LC15,1,,1,,,,,2,,,,,,1,1,,,,2,,1,,1,,,1,1,1,,,,,,,,2,rut,1,,1,,
LC1,555754,465674.8118,121100.051,144345.2745,37656.95294,664618.6549,251969.9843,6688.792157,399541.6588,1712,1233706.894,39048.38039,462,49385.81569,1928,638858.051,554594.5176,20679.99216,110193.5294,205,555939.2667,358015.0353,30860.26275,364010.5569,15705.96863,2,1272687.616,27950.47451,1133,22146,614,745343.9412,257808.2275,674,320179.9216,525,rut,285710.2235,224683.4706,3104.760784,775732.8275,35299.80784
LC2,27,112,2,126,5,50,39,3,178,2,253,8,,10,1,69,76,7,98,22,40,121,31,80,,2,216,9,3,41,3,63,70,2,132,5,rut,62,16,7,180,7
LC3,1789.866667,7221,74,2894,22,3703.866667,3474,19,4798,6,9932.866667,1003,9,1038,18,4149.866667,5443,1168,1170,70,2121,5797,394.8666667,3634,54,2,6910,1257.866667,20,3747,66,3842,2285.866667,31,5794,48,rut,3378.866667,1856,93,6419,254
LC4,2617130.51,4807859.482,301018.3608,1503297.122,88633.54902,3737116.62,2592925.788,24237.12157,2957683.494,5976,8382694.58,486615.8863,3888.905882,432477.1412,12262.5098,4644654.133,3905218.91,205545.5059,560577.4745,1943,2549969.043,3671182.557,251606.1333,2767458.502,77722.78824,2,6508203.227,811193.7843,18829.76078,1895725.882,83986.36863,4482297.988,2142541.675,5624,2680214.361,7261,rut,1893262.463,1594088.737,27795.86275,5520357.345,282434.6157
LC5,893967.4667,2194406.557,81970.36863,1074571.102,19722.6549,1003372.847,1508106.314,12607.6549,1733043.529,7507.803922,3579126.561,461516.698,2576.92549,219394.9647,2023,2990657.035,992760.5373,108330.7176,168087.8588,4802,852784.6235,1863826.063,243905.4667,1259942.522,44179.47451,2,1655143.506,676962.6275,8999,1846807.588,76725.42745,1719191.792,1177055.875,14227.96863,1339948.588,14213.92549,rut,1181643.929,797159.7961,17724.69412,2178037.149,90072.58039
LC6,96110.76471,391701.3216,6444,231526.3216,1716,168352.0078,285209.7804,5566.168627,266717.451,1653,504665.349,142368.5294,206,79369.96863,888.5607843,375807.6588,233638.0118,61376.12549,53067.0549,3609.556863,91101.83137,348931.0118,53701.81569,218776.1373,14987.61176,2,279017.4667,71341.15686,1827,360159.7843,15153,157731.5922,171922.298,2010,390260.5176,5574,rut,246124.898,100216.0392,6007.560784,364275.9098,10874
LC7,53324.86667,98746.65098,3966.72549,50250.63922,707,52105.58824,80820.97647,334,73432.31765,303,173697.3451,20105.94118,76,13059.59608,57,179922.8824,21127,2841,3030,75,50996.4902,88318.46275,6650.729412,59587.2,1443,2,88485.98039,44211.14118,826.9529412,71059.80784,2412,95578.94902,56930.31765,909.9921569,52625.62353,951,rut,52561.01961,48477.31765,416,100241.6392,5299.905882
LC8,580505.1725,1598831.49,84361.31765,532772.698,12137,632577.5412,1088811.953,17862,1063857.184,5499,2092669.376,443777.4784,6165,261567.8235,4428,2300398.102,280806.9647,154726.6706,63707.94118,8968,636696.4314,1262563.243,193792.7373,694464.1255,21091.14118,2,786747.6824,622052.8471,11572,1331900.573,56334.57647,986578.8588,818281.9882,11461.7098,975234.5294,17050.59216,rut,685797.1412,673027.4784,18852.29804,1317564.435,113366.3255
LC9,376761.3137,1523764.2,50107.74118,454546.9137,2593,505445.451,955353.9412,3899,937687.7765,5387,2005606.643,274029.098,573,127194.4275,370,1880243.824,362357.5961,111075.898,49625.85098,4470,375131.7176,1199534.906,142192.2078,681934.5333,8979.803922,2,552928.6706,378811.1059,1880,1403721.412,70431.98039,805635.7216,647382.4863,16449,915224.3922,23081.56863,rut,637937.2235,374722.098,3394,1308101.086,83618.76078
LC10,1722232.188,855038.298,272506.0706,361355.6863,43004.56078,858697.3608,1341167.867,15414.89412,1036012.682,2844,2284224.639,505388.9451,3092.803922,453281.5216,8148.894118,3190667.09,49662.78039,6531,7252.933333,23,1760612.906,859798.2118,168128.8039,443808.0706,21788.81176,2,1412771.263,888277.4353,16167,923975.1098,12945.99608,2030172.11,630299.949,14689.38039,569346.3647,9629,rut,783462.3216,1240547.424,40189.29804,1150909.769,39027.99216
LC11,337343.7294,1669371.471,27068.63137,555307.6627,2046,653706.2275,1028913.922,8334,897555.3451,2628,2220373.067,263668.7961,491,104697.749,1906.882353,1495322.302,927948.5451,83569.51373,83813.13333,484,347169.2275,1318908.439,153815.298,744548.3529,26696.17647,2,939090.7176,324473.0706,6216,1245444.412,75913.29412,785127.2118,661934.298,5389,1128719.984,9967,rut,645390.2706,356546.7333,11124.58039,1523235.91,54840
LC12,298,46,34,13,10,135,148,5,113,,263,55,,79,4,352,31,5,12,1,161,112,14,113,1,2,139,155,12,93,2,353,32,3,13,,rut,128,131,20,116,6
LC13,15,,10,,,6,7,10,2,,12,2,,4,7,25,,,,,16,1,8,,,2,7,6,9,3,,10,3,,8,4,rut,7,,18,,
LC14,856149.2549,168348.3608,77513.96078,69186.3451,10097.75294,405132.9725,442575.1294,5984,326092.5725,1511,798672.1647,135655.302,1744.545098,241267.6627,3956,1159372.675,17646,2130,2102,45,806263.0706,226747.6,49426.74902,91216.34902,7641.905882,2,723697.5333,264223.1333,8716,182233.0078,2426,860132.1451,150082.4275,3862,159518.149,7700.952941,rut,309550.6471,480764.9216,13059.98824,371882.1176,6038
LC15,11,,11,,,3,3,16,,,5,8,,4,5,17,1,,3,1,13,4,5,,,2,5,1,15,1,,2,1,1,11,7,rut,4,,18,,
LC1,22588,49883,2199,8488,285,39123,29800,40,14475,5,79301,2029,19,2018,76,33803,41725,1409,6479,27,24218,39969,4903,13873,480,3,75306,4438,149,3518,32,42255,11363,15,29609,201,rut,19136,10137,160,50381,3629
LC2,5,10,,13,,4,20,,4,,24,4,,,,3,18,1,5,1,3,10,1,14,,3,16,7,,5,,4,3,,20,1,rut,10,9,,9,
LC3,321,1469,16,377,,614,999,8,560,2,1585,303,4,290,1,704,945,322,198,14,303,1184,215,478,3,3,978,407,1,794,3,570,341,,1241,31,rut,642,336,9,1121,75
LC4,277884,563679,21852,147488,4424,422990,373097,296,218878,66,949715,33026,458,31097,1031,504545,421761,26083,62623,315,266064,452172,41799,250394,4898,3,701672,114340,4665,187964,6686,496772,179433,529,334775,3818,rut,218986,140784,1195,622131,32231
LC5,107042,286846,10549,128170,1754,136920,231269,2102,163621,449,489203,26842,284,17462,570,318625,160904,20307,33266,1259,102636,252435,36241,138570,4479,3,264377,79247,4100,177853,8784,215169,110102,1822,199470,7798,rut,174968,85949,2104,254348,16992
LC6,24172,91209,1273,38429,132,36876,75706,748,41703,182,122446,16813,52,15699,205,73825,52152,14983,13108,1147,21184,80846,14006,38352,827,3,64938,22184,479,66282,1332,34480,24744,357,91955,3679,rut,57320,21171,949,72751,3024
LC7,10373,26289,804,11164,82,11165,26492,81,10948,26,44487,2802,6,1363,54,39465,6457,944,1775,71,9483,24078,2489,12516,146,3,20397,14054,633,13491,137,23189,8479,137,16126,781,rut,10885,7902,107,26802,3016
LC8,91836,262490,11953,111774,1301,113707,209814,2704,152432,697,396242,45581,925,35455,1151,346825,69204,41352,18518,3455,96872,214843,25624,138750,3265,3,147439,133444,7463,186230,4778,164334,106759,2920,195788,9553,rut,117551,94587,3520,227222,36474
LC9,60008,203945,9420,71112,209,82380,160677,704,100666,267,309104,21181,56,14210,143,262699,49162,19805,11559,1469,59747,168765,16457,98399,1326,3,96356,68999,1957,170202,7180,129194,67099,2909,135446,10046,rut,100031,50554,398,178025,15686
LC10,260411,100904,38595,56066,7728,126600,158875,1696,175486,1047,323843,78040,866,59607,1348,456176,4976,1419,1128,5,250386,120306,24287,64542,4183,3,204907,162891,7493,87166,1247,297573,87241,1971,75291,1628,rut,115715,161020,3856,170326,12787
LC11,55412,234149,4003,67878,120,92918,186199,1113,81279,53,334904,17018,37,9058,545,220788,118065,9326,13218,165,54709,196776,18866,89453,1758,3,136835,60663,1721,153525,8818,119895,66271,689,168579,6128,rut,96655,51771,1442,202876,8818
LC12,1,4,,,,,1,,4,,5,,,,,1,3,,1,,,4,,1,,3,5,,,,,2,1,,2,,rut,2,1,,2,
LC13,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,rut,,,,,
LC14,138678,23449,9537,11634,2285,69138,66439,691,48787,528,139056,23263,421,22486,357,183435,1578,190,370,10,116942,40920,6506,19722,1493,3,106825,51911,3606,23054,187,143339,18084,431,22648,1081,rut,53025,55401,1184,72239,3734
LC15,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,rut,,,,,
LC1,3016,9435,96,1123,11,6330,6452,2,896,1,13204,225,,248,4,5670,7027,42,941,1,3271,8125,712,1564,9,4,12352,560,,767,2,6761,1232,5,5675,8,rut,3642,1774,15,8153,97
LC2,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,rut,,,,,
LC3,4,31,,12,,15,26,,6,,30,8,1,8,,27,11,2,5,2,10,22,1,14,,4,15,18,,14,,15,4,,28,,rut,8,13,,24,2
LC4,105745,188009,4452,47449,2130,152555,153624,64,41536,6,334084,6357,35,7261,48,188167,127987,3193,28277,161,94380,167223,11924,73396,862,4,268403,36307,682,41979,414,186454,44972,234,114834,1291,rut,88483,55839,451,197146,5866
LC5,67804,125693,2433,56320,563,78424,123644,540,50170,35,243168,6080,52,3451,62,158630,70273,6103,17448,359,59818,117859,7074,66828,1234,4,146151,38220,1129,65596,1717,131699,38355,719,78624,3416,rut,92311,52230,953,102190,5129
