LC,caribou_density,season,pft,change_type,change_count
Evergreen forest,None,autumn,Deciduous shrubs,No change,240878.7412
Evergreen forest,None,autumn,Deciduous shrubs,Increase,287628.4353
Evergreen forest,None,autumn,Deciduous shrubs,Increase >= RMSE,73764.56471
Evergreen forest,None,autumn,Deciduous shrubs,Decrease,90852.13333
Evergreen forest,None,autumn,Deciduous shrubs,|Decrease| >= RMSE,12460
Evergreen forest,None,autumn,Evergreen shrubs,No change,346326.2745
Evergreen forest,None,autumn,Evergreen shrubs,Increase,137243.302
Evergreen forest,None,autumn,Evergreen shrubs,Increase >= RMSE,3062.792157
Evergreen forest,None,autumn,Evergreen shrubs,Decrease,218648.6863
Evergreen forest,None,autumn,Evergreen shrubs,|Decrease| >= RMSE,302.8196078
Evergreen forest,None,autumn,Forbs,No change,619161.149
Evergreen forest,None,autumn,Forbs,Increase,39673.94118
Evergreen forest,None,autumn,Forbs,Increase >= RMSE,733
Evergreen forest,None,autumn,Forbs,Decrease,44324.86275
Evergreen forest,None,autumn,Forbs,|Decrease| >= RMSE,1690.921569
Evergreen forest,None,autumn,Alder,No change,327399.1804
Evergreen forest,None,autumn,Alder,Increase,307639.9922
Evergreen forest,None,autumn,Alder,Increase >= RMSE,21347.23529
Evergreen forest,None,autumn,Alder,Decrease,49081.46667
Evergreen forest,None,autumn,Alder,|Decrease| >= RMSE,116
Evergreen forest,None,autumn,Birch,No change,257563.251
Evergreen forest,None,autumn,Birch,Increase,210635.1412
Evergreen forest,None,autumn,Birch,Increase >= RMSE,21925.18431
Evergreen forest,None,autumn,Birch,Decrease,206734.5569
Evergreen forest,None,autumn,Birch,|Decrease| >= RMSE,8725.741176
Evergreen forest,None,autumn,Graminoids,No change,677001.4
Evergreen forest,None,autumn,Graminoids,Increase,16511.47451
Evergreen forest,None,autumn,Graminoids,Increase >= RMSE,914
Evergreen forest,None,autumn,Graminoids,Decrease,10811
Evergreen forest,None,autumn,Graminoids,|Decrease| >= RMSE,346
Evergreen forest,None,autumn,Willow,No change,368943.8
Evergreen forest,None,autumn,Willow,Increase,142176.4824
Evergreen forest,None,autumn,Willow,Increase >= RMSE,516
Evergreen forest,None,autumn,Willow,Decrease,193597.5922
Evergreen forest,None,autumn,Willow,|Decrease| >= RMSE,350
Evergreen forest,None,autumn,Lichens,No change,149559.6431
Evergreen forest,None,autumn,Lichens,Increase,119532.6196
Evergreen forest,None,autumn,Lichens,Increase >= RMSE,2949.682353
Evergreen forest,None,autumn,Lichens,Decrease,408655.502
Evergreen forest,None,autumn,Lichens,|Decrease| >= RMSE,24886.42745
Deciduous forest,None,autumn,Deciduous shrubs,No change,20
Deciduous forest,None,autumn,Deciduous shrubs,Increase,45
Deciduous forest,None,autumn,Deciduous shrubs,Increase >= RMSE,3
Deciduous forest,None,autumn,Deciduous shrubs,Decrease,44
Deciduous forest,None,autumn,Deciduous shrubs,|Decrease| >= RMSE,1
Deciduous forest,None,autumn,Evergreen shrubs,No change,38
Deciduous forest,None,autumn,Evergreen shrubs,Increase,19
Deciduous forest,None,autumn,Evergreen shrubs,Increase >= RMSE,9
Deciduous forest,None,autumn,Evergreen shrubs,Decrease,47
