LC,caribou_density,season,sens_slope_allDecShrub_count,sens_slope_allDecShrub_mean,sens_slope_allDecShrub_variance,sens_slope_allEvShrub_count,sens_slope_allEvShrub_mean,sens_slope_allEvShrub_variance,sens_slope_allForb_count,sens_slope_allForb_mean,sens_slope_allForb_variance,sens_slope_alnshr_count,sens_slope_alnshr_mean,sens_slope_alnshr_variance,sens_slope_betshr_count,sens_slope_betshr_mean,sens_slope_betshr_variance,sens_slope_graminoid_count,sens_slope_graminoid_mean,sens_slope_graminoid_variance,sens_slope_salshr_count,sens_slope_salshr_mean,sens_slope_salshr_variance,sens_slope_tmlichen_count,sens_slope_tmlichen_mean,sens_slope_tmlichen_variance
LC1,1,autumn,705605,0.059534304,0.025950066,705605,-0.004796936,0.002924959,705605,-0.001970714,0.001120784,705605,0.034207291,0.006097254,705605,0.010495664,0.010122718,705605,3.26E-04,7.70E-04,705605,-0.001524627,0.001106849,705605,-0.069233083,0.019736976
LC2,1,autumn,113,0.019901769,0.065396688,113,-2.51E-04,0.022217194,113,-0.003486726,0.002402465,113,-0.023621239,0.042776907,113,0.034861947,0.051517215,113,-0.019526548,0.005829978,113,-0.018334513,0.012368236,113,-0.014374336,0.004431852
LC3,1,autumn,8712,0.045141207,0.033288612,8712,-0.00361719,0.006474924,8712,-0.002509647,0.002063576,8712,0.058177975,0.020232369,8712,0.014069624,0.023526353,8712,-0.011804103,0.004449502,8712,-0.017614654,0.004524906,8712,-0.016505015,0.004959904
LC4,1,autumn,4286072,0.047983598,0.02032914,4286072,-0.002333244,0.002995482,4286072,-0.00155819,0.001075745,4286072,0.028256778,0.005054351,4286072,0.013731588,0.013745269,4286072,-0.010450972,0.004554327,4286072,-0.004129715,0.001646042,4286072,-0.049472461,0.01737422
LC5,1,autumn,2386675,0.035023588,0.022279647,2386675,-0.002753752,0.007284336,2386675,0.004671399,0.001577441,2386675,0.010160973,0.0024147,2386675,0.022567503,0.02231349,2386675,-0.025637048,0.00947793,2386675,-0.001947454,0.00372754,2386675,-0.018220276,0.008609549
LC6,1,autumn,421796,8.75E-05,0.044066358,421796,0.00465715,0.008918212,421796,0.003512739,0.002544504,421796,0.029400408,0.009126575,421796,-0.006655629,0.048451166,421796,-0.0304922,0.010495821,421796,-0.02649812,0.010380573,421796,-0.012355582,0.003976712
LC7,1,autumn,157385,0.032516523,0.017407375,157385,0.005558264,0.006974315,157385,0.001343641,0.001044362,157385,0.004158808,9.25E-04,157385,0.0228784,0.015264403,157385,-0.013502876,0.00814133,157385,-0.002164549,0.002811648,157385,-0.016983854,0.010066186
LC8,1,autumn,1953959,0.062659837,0.026953453,1953959,1.50E-04,0.007873483,1953959,0.005240393,0.002277815,1953959,0.00981538,0.003808205,1953959,0.03479969,0.019403185,1953959,-0.023169893,0.011353908,1953959,-0.001080855,0.004568295,1953959,-0.017752524,0.012751021
LC9,1,autumn,1259729,0.064437442,0.02567214,1259729,0.00128623,0.007135826,1259729,0.003135554,9.57E-04,1259729,0.007572736,0.002189991,1259729,0.035807803,0.022732447,1259729,-0.03515071,0.010079652,1259729,-0.005306628,0.004084792,1259729,-0.021034993,0.006472704
LC10,1,autumn,1884818,0.031749315,0.013922468,1884818,0.014209766,0.007587715,1884818,-0.002141595,0.002302062,1884818,0.001241263,3.15E-04,1884818,0.019321082,0.009022462,1884818,-0.007579899,0.007310003,1884818,-0.001506201,0.002204831,1884818,0.010436881,0.013600944
LC11,1,autumn,968118,0.043667963,0.030267276,968118,0.01126256,0.007268158,968118,9.57E-04,0.001360545,968118,0.014834364,0.002486602,968118,0.024437096,0.03272475,968118,-0.031608747,0.012177699,968118,-0.015215746,0.00450244,968118,-0.019030452,0.007473193
LC12,1,autumn,159,0.071573585,0.071550426,159,0.018454088,0.010156533,159,-0.023349056,0.023646384,159,0.018338365,0.004221392,159,-0.007997484,0.009159656,159,0.038873585,0.012132965,159,0.010922642,0.003116373,159,0.005218239,0.011314904
LC13,1,autumn,28,0.160992862,0.120741668,28,0.083767857,0.022578453,28,-0.054917856,0.019967885,28,0,0,28,0.121710716,0.054350392,28,0.279121429,0.218277381,28,-0.108503572,0.057642274,28,0.077539287,0.026067456
LC14,1,autumn,658851,0.020392165,0.01083168,658851,0.01320496,0.00590222,658851,-0.007405993,0.002847808,658851,0.001001195,3.10E-04,658851,0.013489683,0.005008575,658851,0.010471798,0.007154319,658851,-0.004057638,0.002555073,658851,0.025988957,0.014865278
LC15,1,autumn,12,1.92E-04,4.04E-07,12,0,0,12,-0.079658334,0.126946307,12,0,0,12,0.08950833,0.046084875,12,0.438308338,0.161815686,12,-0.043174999,0.046054599,12,0,0
LC1,2,autumn,250318,0.064592323,0.019591029,250318,-0.004347832,0.002151282,250318,-3.33E-05,4.89E-04,250318,0.035948208,0.005263613,250318,0.017566073,0.011355936,250318,-0.001158926,0.001177374,250318,-0.003333361,0.001096877,250318,-0.068650727,0.014902102
LC2,2,autumn,33,-0.057354545,0.030314179,33,-0.059775758,0.011332415,33,-0.002212121,1.57E-04,33,0.073754546,0.022845557,33,0.045593941,0.035770861,33,-0.015130303,0.002858003,33,-0.042433333,0.006482294,33,-0.039224243,0.002924063
LC3,2,autumn,8756,0.063770649,0.036749819,8756,-0.02849228,0.005965388,8756,3.57E-04,8.50E-04,8756,0.092976108,0.024824073,8756,0.025953666,0.029876322,8756,-0.027140235,0.006162048,8756,-0.018884902,0.005249484,8756,-0.043536615,0.00737996
