LC,caribou_density,season,sens_slope_allDecShrub_count,sens_slope_allDecShrub_mean,sens_slope_allDecShrub_variance,sens_slope_allEvShrub_count,sens_slope_allEvShrub_mean,sens_slope_allEvShrub_variance,sens_slope_allForb_count,sens_slope_allForb_mean,sens_slope_allForb_variance,sens_slope_alnshr_count,sens_slope_alnshr_mean,sens_slope_alnshr_variance,sens_slope_betshr_count,sens_slope_betshr_mean,sens_slope_betshr_variance,sens_slope_graminoid_count,sens_slope_graminoid_mean,sens_slope_graminoid_variance,sens_slope_salshr_count,sens_slope_salshr_mean,sens_slope_salshr_variance,sens_slope_tmlichen_count,sens_slope_tmlichen_mean,sens_slope_tmlichen_variance
LC1,1,calving,415556,0.075816236,0.027695738,415556,0.003847472,0.003371129,415556,-0.00325769,0.001482204,415556,0.03330169,0.005522586,415556,0.039834567,0.014669711,415556,0.00161747,0.001448116,415556,-0.003636414,0.001359768,415556,-0.04789654,0.016088649
LC2,1,calving,470,0.039115957,0.054358572,470,-0.023429362,0.007865616,470,1.28E-06,0.001350191,470,-0.00927617,0.036265995,470,0.087477872,0.056578889,470,-0.022875319,0.007667232,470,-0.028061915,0.015271379,470,-0.02242617,0.003803976
LC3,1,calving,18188,0.047760914,0.028404355,18188,-0.007575469,0.005211765,18188,-7.49E-04,0.002716114,18188,0.061021145,0.02646515,18188,0.027458727,0.024977221,18188,-0.014135248,0.004714589,18188,-0.020393414,0.005610944,18188,-0.018947523,0.004669177
LC4,1,calving,5299088,0.055838413,0.0189157,5299088,0.003725427,0.002608807,5299088,-0.001033538,9.13E-04,5299088,0.026427397,0.004594173,5299088,0.025510117,0.013898949,5299088,-0.010655322,0.005009414,5299088,-0.006004114,0.00167317,5299088,-0.046510378,0.014692855
LC5,1,calving,3423204,0.039690179,0.023671353,3423204,-9.23E-04,0.007607928,3423204,0.005426737,0.001574701,3423204,0.012576936,0.003412648,3423204,0.029325825,0.023187493,3423204,-0.026938382,0.009839709,3423204,-0.002725703,0.004787242,3423204,-0.017666324,0.007954453
LC6,1,calving,908895,0.02059766,0.033576819,908895,0.004897884,0.008197131,908895,0.004455111,0.002209528,908895,0.031095283,0.012443437,908895,0.01784347,0.036817892,908895,-0.036686121,0.012217844,908895,-0.02507998,0.011584775,908895,-0.013103168,0.003305198
LC7,1,calving,212730,0.035849201,0.019050206,212730,0.010643821,0.007563893,212730,0.00130799,9.23E-04,212730,0.005270515,0.001340688,212730,0.025354335,0.01539955,212730,-0.009841903,0.008537794,212730,-0.004046504,0.002980177,212730,-0.023298384,0.012451276
LC8,1,calving,2792030,0.070711286,0.032467721,2792030,-0.001812724,0.008872843,2792030,0.005909822,0.002515923,2792030,0.015503595,0.007387586,2792030,0.037278541,0.02106558,2792030,-0.024354846,0.013123328,2792030,-5.03E-04,0.00635632,2792030,-0.023283072,0.014651965
LC9,1,calving,1791050,0.067821389,0.028602444,1791050,0.005415448,0.007270177,1791050,0.002901948,8.32E-04,1791050,0.010947072,0.003394473,1791050,0.040094594,0.024320252,1791050,-0.035763173,0.010844858,1791050,-0.008495903,0.004784068,1791050,-0.026149999,0.008263713
LC10,1,calving,2484023,0.031331161,0.014219164,2484023,0.013370914,0.007498946,2484023,-0.001301494,0.001902603,2484023,8.20E-04,2.00E-04,2484023,0.018722038,0.008093349,2484023,-0.004714802,0.007137927,2484023,-7.65E-04,0.002121635,2484023,0.00999669,0.013793725
