LC,caribou_density,season,sens_slope_allDecShrub_count,sens_slope_allDecShrub_mean,sens_slope_allDecShrub_variance,sens_slope_allEvShrub_count,sens_slope_allEvShrub_mean,sens_slope_allEvShrub_variance,sens_slope_allForb_count,sens_slope_allForb_mean,sens_slope_allForb_variance,sens_slope_alnshr_count,sens_slope_alnshr_mean,sens_slope_alnshr_variance,sens_slope_betshr_count,sens_slope_betshr_mean,sens_slope_betshr_variance,sens_slope_graminoid_count,sens_slope_graminoid_mean,sens_slope_graminoid_variance,sens_slope_salshr_count,sens_slope_salshr_mean,sens_slope_salshr_variance,sens_slope_tmlichen_count,sens_slope_tmlichen_mean,sens_slope_tmlichen_variance
LC1,1,postcalving,547878,0.090862927,0.033603317,547878,-0.00995426,0.003751823,547878,-0.002184928,0.00245375,547878,0.062324593,0.014380255,547878,0.029697778,0.016004154,547878,0.001137814,0.001328378,547878,-0.004452701,0.001578576,547878,-0.048463736,0.016431508
LC2,1,postcalving,1117,-0.021113966,0.046633793,1117,-0.021230618,0.005369608,1117,0.013853626,0.008540263,1117,0.034786123,0.082594308,1117,-0.010596509,0.030956216,1117,-0.02729239,0.008639824,1117,-0.013129364,0.024482024,1117,-0.007808326,0.001723393
LC3,1,postcalving,43170,0.013408142,0.031420056,43170,-0.01564622,0.004949544,43170,0.004663337,0.004948641,43170,0.054688285,0.036633009,43170,0.003706741,0.023435709,43170,-0.012014327,0.003498158,43170,-0.028772098,0.009451886,43170,-0.01161036,0.002820841
LC4,1,postcalving,3811247,0.060218468,0.025967597,3811247,-0.004576207,0.003495485,3811247,-0.001447661,0.001756326,3811247,0.037110667,0.009013962,3811247,0.023834546,0.018067688,3811247,-0.008433624,0.004563495,3811247,-0.008151821,0.002483825,3811247,-0.0433879,0.015111931
LC5,1,postcalving,2972098,0.043113491,0.024417708,2972098,-0.006413148,0.008222853,2972098,0.007832627,0.002095668,2972098,0.011866068,0.003838057,2972098,0.029831728,0.024182883,2972098,-0.028219248,0.010120842,2972098,0.001801974,0.006257407,2972098,-0.018030186,0.008266773
LC6,1,postcalving,1177015,0.01677995,0.035726429,1177015,-0.009253818,0.008041096,1177015,0.00718488,0.003812035,1177015,0.033322199,0.017973622,1177015,0.008709859,0.040746145,1177015,-0.038896665,0.01206318,1177015,-0.010687064,0.015696624,1177015,-0.011488114,0.002694173
LC7,1,postcalving,195115,0.032906404,0.018494727,195115,0.010620096,0.007619983,195115,0.001404505,0.001044342,195115,0.004438126,0.001255214,195115,0.023403876,0.015033792,195115,-0.010307067,0.008506756,195115,-0.003998878,0.003148738,195115,-0.021883017,0.01216173
LC8,1,postcalving,2778357,0.06944172,0.032862394,2778357,-0.004924502,0.009108902,2778357,0.008162918,0.003234428,2778357,0.015010222,0.008603036,2778357,0.035672814,0.02099091,2778357,-0.025467141,0.012934938,2778357,0.004083855,0.007857865,2778357,-0.022499935,0.0137922
LC9,1,postcalving,1630202,0.069350948,0.028723051,1630202,0.004132445,0.007667233,1630202,0.00337655,9.82E-04,1630202,0.010577476,0.003448807,1630202,0.039909573,0.024059066,1630202,-0.035911521,0.010841009,1630202,-0.006739394,0.005260082,1630202,-0.026815123,0.00841897
LC10,1,postcalving,2404352,0.029324574,0.013439743,2404352,0.011291948,0.007346299,2404352,-4.85E-04,0.001858034,2404352,5.99E-04,1.49E-04,2404352,0.017091009,0.007577139,2404352,-0.002659565,0.006832752,2404352,-6.08E-04,0.002133564,2404352,0.008798076,0.013771183
LC11,1,postcalving,1371353,0.050077348,0.031535494,1371353,0.013994838,0.007313759,1371353,0.001755459,0.001454116,1371353,0.01392321,0.002392639,1371353,0.030040519,0.03096624,1371353,-0.028641571,0.012253973,1371353,-0.017526868,0.005294044,1371353,-0.021533967,0.007549841
LC12,1,postcalving,141,0.037081561,0.032418286,141,0.015104256,0.007671938,141,0.00648227,0.003976442,141,0.010395035,0.002663669,141,-0.020478723,0.010662274,141,0.036487234,0.016065358,141,0.012443262,0.002749667,141,-0.014704255,0.023819017
