LC,total_area,caribou_density,season,pft,year,weighted_area
Evergreen forest,635025487.1,None,autumn,Deciduous shrubs,weighted_area_start,99914089.73
Evergreen forest,635025487.1,None,autumn,Deciduous shrubs,weighted_area_end,115801498.4
Evergreen forest,635025487.1,None,autumn,Evergreen shrubs,weighted_area_start,74354385.21
Evergreen forest,635025487.1,None,autumn,Evergreen shrubs,weighted_area_end,73136898.78
Evergreen forest,635025487.1,None,autumn,Forbs,weighted_area_start,3208769.294
Evergreen forest,635025487.1,None,autumn,Forbs,weighted_area_end,3080248.376
Evergreen forest,635025487.1,None,autumn,Alder,weighted_area_start,15688263
Evergreen forest,635025487.1,None,autumn,Alder,weighted_area_end,23665840.06
Evergreen forest,635025487.1,None,autumn,Birch,weighted_area_start,44133315.67
Evergreen forest,635025487.1,None,autumn,Birch,weighted_area_end,46239272.54
Evergreen forest,635025487.1,None,autumn,Graminoids,weighted_area_start,1304580.706
Evergreen forest,635025487.1,None,autumn,Graminoids,weighted_area_end,1673879.682
Evergreen forest,635025487.1,None,autumn,Willow,weighted_area_start,32287136.36
Evergreen forest,635025487.1,None,autumn,Willow,weighted_area_end,31894370.19
Evergreen forest,635025487.1,None,autumn,Lichens,weighted_area_start,99156098.93
Evergreen forest,635025487.1,None,autumn,Lichens,weighted_area_end,86095621.94
Deciduous forest,101700,None,autumn,Deciduous shrubs,weighted_area_start,40194
Deciduous forest,101700,None,autumn,Deciduous shrubs,weighted_area_end,40608
Deciduous forest,101700,None,autumn,Evergreen shrubs,weighted_area_start,13122
Deciduous forest,101700,None,autumn,Evergreen shrubs,weighted_area_end,13455
Deciduous forest,101700,None,autumn,Forbs,weighted_area_start,1683
Deciduous forest,101700,None,autumn,Forbs,weighted_area_end,1683
Deciduous forest,101700,None,autumn,Alder,weighted_area_start,6696
Deciduous forest,101700,None,autumn,Alder,weighted_area_end,5976
Deciduous forest,101700,None,autumn,Birch,weighted_area_start,14832
Deciduous forest,101700,None,autumn,Birch,weighted_area_end,16209
Deciduous forest,101700,None,autumn,Graminoids,weighted_area_start,3096
Deciduous forest,101700,None,autumn,Graminoids,weighted_area_end,2322
Deciduous forest,101700,None,autumn,Willow,weighted_area_start,9207
Deciduous forest,101700,None,autumn,Willow,weighted_area_end,8514
Deciduous forest,101700,None,autumn,Lichens,weighted_area_start,5364
Deciduous forest,101700,None,autumn,Lichens,weighted_area_end,4869
Mixed forest,7840316.471,None,autumn,Deciduous shrubs,weighted_area_start,3138443.365
Mixed forest,7840316.471,None,autumn,Deciduous shrubs,weighted_area_end,3252843.388
Mixed forest,7840316.471,None,autumn,Evergreen shrubs,weighted_area_start,1096925.329
Mixed forest,7840316.471,None,autumn,Evergreen shrubs,weighted_area_end,1098516.212
Mixed forest,7840316.471,None,autumn,Forbs,weighted_area_start,181521
Mixed forest,7840316.471,None,autumn,Forbs,weighted_area_end,176859
Mixed forest,7840316.471,None,autumn,Alder,weighted_area_start,435997.3412
Mixed forest,7840316.471,None,autumn,Alder,weighted_area_end,589636.0588
Mixed forest,7840316.471,None,autumn,Birch,weighted_area_start,1273092.247
Mixed forest,7840316.471,None,autumn,Birch,weighted_area_end,1308252.035
Mixed forest,7840316.471,None,autumn,Graminoids,weighted_area_start,346913.5412
Mixed forest,7840316.471,None,autumn,Graminoids,weighted_area_end,317737.5529
Mixed forest,7840316.471,None,autumn,Willow,weighted_area_start,792911.6824
Mixed forest,7840316.471,None,autumn,Willow,weighted_area_end,740906.9647
Mixed forest,7840316.471,None,autumn,Lichens,weighted_area_start,539298.5647
Mixed forest,7840316.471,None,autumn,Lichens,weighted_area_end,496130.9294
Woodland,3857264704,None,autumn,Deciduous shrubs,weighted_area_start,806775068.5
Woodland,3857264704,None,autumn,Deciduous shrubs,weighted_area_end,871150493.5
Woodland,3857264704,None,autumn,Evergreen shrubs,weighted_area_start,541168970.4
Woodland,3857264704,None,autumn,Evergreen shrubs,weighted_area_end,538737968.3
Woodland,3857264704,None,autumn,Forbs,weighted_area_start,19919208.28
Woodland,3857264704,None,autumn,Forbs,weighted_area_end,19124437.06
Woodland,3857264704,None,autumn,Alder,weighted_area_start,78063042.49
Woodland,3857264704,None,autumn,Alder,weighted_area_end,118212214.4
Woodland,3857264704,None,autumn,Birch,weighted_area_start,393587453.6
Woodland,3857264704,None,autumn,Birch,weighted_area_end,410467064.5
Woodland,3857264704,None,autumn,Graminoids,weighted_area_start,102895942.8
Woodland,3857264704,None,autumn,Graminoids,weighted_area_end,87454140.39
Woodland,3857264704,None,autumn,Willow,weighted_area_start,231122481
Woodland,3857264704,None,autumn,Willow,weighted_area_end,225008646
Woodland,3857264704,None,autumn,Lichens,weighted_area_start,599796532.7
Woodland,3857264704,None,autumn,Lichens,weighted_area_end,541456685.2
Low shrub,2147837216,None,autumn,Deciduous shrubs,weighted_area_start,544144039.9
Low shrub,2147837216,None,autumn,Deciduous shrubs,weighted_area_end,567360794.3
Low shrub,2147837216,None,autumn,Evergreen shrubs,weighted_area_start,356431831.8
Low shrub,2147837216,None,autumn,Evergreen shrubs,weighted_area_end,354640475.4
Low shrub,2147837216,None,autumn,Forbs,weighted_area_start,21183619.69
Low shrub,2147837216,None,autumn,Forbs,weighted_area_end,26715823.76
Low shrub,2147837216,None,autumn,Alder,weighted_area_start,11248803
Low shrub,2147837216,None,autumn,Alder,weighted_area_end,20548884.28
Low shrub,2147837216,None,autumn,Birch,weighted_area_start,310555595.4
Low shrub,2147837216,None,autumn,Birch,weighted_area_end,324760859.2
Low shrub,2147837216,None,autumn,Graminoids,weighted_area_start,256548641
Low shrub,2147837216,None,autumn,Graminoids,weighted_area_end,237088940.5
Low shrub,2147837216,None,autumn,Willow,weighted_area_start,157642527.6
Low shrub,2147837216,None,autumn,Willow,weighted_area_end,156280248.9
Low shrub,2147837216,None,autumn,Lichens,weighted_area_start,270180297.6
Low shrub,2147837216,None,autumn,Lichens,weighted_area_end,256724546.3
Tall shrub,379579856.5,None,autumn,Deciduous shrubs,weighted_area_start,168498807.4
Tall shrub,379579856.5,None,autumn,Deciduous shrubs,weighted_area_end,168542905.6
Tall shrub,379579856.5,None,autumn,Evergreen shrubs,weighted_area_start,51178081.91
Tall shrub,379579856.5,None,autumn,Evergreen shrubs,weighted_area_end,52054996.31
Tall shrub,379579856.5,None,autumn,Forbs,weighted_area_start,8450103.318
Tall shrub,379579856.5,None,autumn,Forbs,weighted_area_end,9297024.212
Tall shrub,379579856.5,None,autumn,Alder,weighted_area_start,6329270.082
Tall shrub,379579856.5,None,autumn,Alder,weighted_area_end,10847575.98
Tall shrub,379579856.5,None,autumn,Birch,weighted_area_start,89606664.07
Tall shrub,379579856.5,None,autumn,Birch,weighted_area_end,88639448.61
Tall shrub,379579856.5,None,autumn,Graminoids,weighted_area_start,29240255.93
Tall shrub,379579856.5,None,autumn,Graminoids,weighted_area_end,25175894.58
Tall shrub,379579856.5,None,autumn,Willow,weighted_area_start,48564605.65
Tall shrub,379579856.5,None,autumn,Willow,weighted_area_end,45266755.34
Tall shrub,379579856.5,None,autumn,Lichens,weighted_area_start,21298067.65
Tall shrub,379579856.5,None,autumn,Lichens,weighted_area_end,19506279.28
Open shrubs,141638978.8,None,autumn,Deciduous shrubs,weighted_area_start,30880974
Open shrubs,141638978.8,None,autumn,Deciduous shrubs,weighted_area_end,32279761.76
Open shrubs,141638978.8,None,autumn,Evergreen shrubs,weighted_area_start,29022605.61
Open shrubs,141638978.8,None,autumn,Evergreen shrubs,weighted_area_end,29305132.62
Open shrubs,141638978.8,None,autumn,Forbs,weighted_area_start,1168601.329
Open shrubs,141638978.8,None,autumn,Forbs,weighted_area_end,1333926.882
Open shrubs,141638978.8,None,autumn,Alder,weighted_area_start,214984.0941
Open shrubs,141638978.8,None,autumn,Alder,weighted_area_end,491419.0941
Open shrubs,141638978.8,None,autumn,Birch,weighted_area_start,19558442.36
Open shrubs,141638978.8,None,autumn,Birch,weighted_area_end,20568203.82
Open shrubs,141638978.8,None,autumn,Graminoids,weighted_area_start,15100812.49
Open shrubs,141638978.8,None,autumn,Graminoids,weighted_area_end,14368620.99
Open shrubs,141638978.8,None,autumn,Willow,weighted_area_start,8319433.235
Open shrubs,141638978.8,None,autumn,Willow,weighted_area_end,8151093.812
Open shrubs,141638978.8,None,autumn,Lichens,weighted_area_start,25089980.33
Open shrubs,141638978.8,None,autumn,Lichens,weighted_area_end,24341585.79
Herbaceous,1758474459,None,autumn,Deciduous shrubs,weighted_area_start,408451144.2
Herbaceous,1758474459,None,autumn,Deciduous shrubs,weighted_area_end,441160191.8
Herbaceous,1758474459,None,autumn,Evergreen shrubs,weighted_area_start,325687433.5
Herbaceous,1758474459,None,autumn,Evergreen shrubs,weighted_area_end,326477296.8
Herbaceous,1758474459,None,autumn,Forbs,weighted_area_start,27216072.81
Herbaceous,1758474459,None,autumn,Forbs,weighted_area_end,31960556.61
Herbaceous,1758474459,None,autumn,Alder,weighted_area_start,5983017.494
Herbaceous,1758474459,None,autumn,Alder,weighted_area_end,13480180.31
Herbaceous,1758474459,None,autumn,Birch,weighted_area_start,206964559.8
Herbaceous,1758474459,None,autumn,Birch,weighted_area_end,226181687.2
Herbaceous,1758474459,None,autumn,Graminoids,weighted_area_start,250218179.9
Herbaceous,1758474459,None,autumn,Graminoids,weighted_area_end,236425831.8
Herbaceous,1758474459,None,autumn,Willow,weighted_area_start,141407173.5
Herbaceous,1758474459,None,autumn,Willow,weighted_area_end,140045029.4
Herbaceous,1758474459,None,autumn,Lichens,weighted_area_start,254410580.4
Herbaceous,1758474459,None,autumn,Lichens,weighted_area_end,244206711.8
Tussock tundra,1133693051,None,autumn,Deciduous shrubs,weighted_area_start,320158526.9
Tussock tundra,1133693051,None,autumn,Deciduous shrubs,weighted_area_end,340895237
Tussock tundra,1133693051,None,autumn,Evergreen shrubs,weighted_area_start,199222330.4
Tussock tundra,1133693051,None,autumn,Evergreen shrubs,weighted_area_end,199612055.3
Tussock tundra,1133693051,None,autumn,Forbs,weighted_area_start,10379668.55
Tussock tundra,1133693051,None,autumn,Forbs,weighted_area_end,12392272.31
Tussock tundra,1133693051,None,autumn,Alder,weighted_area_start,2775075.318
Tussock tundra,1133693051,None,autumn,Alder,weighted_area_end,6589072.553
Tussock tundra,1133693051,None,autumn,Birch,weighted_area_start,204363368.2
Tussock tundra,1133693051,None,autumn,Birch,weighted_area_end,215843217.7
Tussock tundra,1133693051,None,autumn,Graminoids,weighted_area_start,172608091.2
Tussock tundra,1133693051,None,autumn,Graminoids,weighted_area_end,159381578.6
Tussock tundra,1133693051,None,autumn,Willow,weighted_area_start,92460854.44
Tussock tundra,1133693051,None,autumn,Willow,weighted_area_end,90308413.06
Tussock tundra,1133693051,None,autumn,Lichens,weighted_area_start,135111282.5
Tussock tundra,1133693051,None,autumn,Lichens,weighted_area_end,126923456.6
Sparsely vegetated,1696202689,None,autumn,Deciduous shrubs,weighted_area_start,174446156.8
Sparsely vegetated,1696202689,None,autumn,Deciduous shrubs,weighted_area_end,199299167.3
Sparsely vegetated,1696202689,None,autumn,Evergreen shrubs,weighted_area_start,358060585.2
Sparsely vegetated,1696202689,None,autumn,Evergreen shrubs,weighted_area_end,365750688.1
Sparsely vegetated,1696202689,None,autumn,Forbs,weighted_area_start,24147314.19
Sparsely vegetated,1696202689,None,autumn,Forbs,weighted_area_end,23567995.06
Sparsely vegetated,1696202689,None,autumn,Alder,weighted_area_start,200329.6941
Sparsely vegetated,1696202689,None,autumn,Alder,weighted_area_end,1178891.4
Sparsely vegetated,1696202689,None,autumn,Birch,weighted_area_start,88766069.93
Sparsely vegetated,1696202689,None,autumn,Birch,weighted_area_end,100760890
Sparsely vegetated,1696202689,None,autumn,Graminoids,weighted_area_start,170861405.5
Sparsely vegetated,1696202689,None,autumn,Graminoids,weighted_area_end,166465450
Sparsely vegetated,1696202689,None,autumn,Willow,weighted_area_start,63858000.71
Sparsely vegetated,1696202689,None,autumn,Willow,weighted_area_end,62644458.71
Sparsely vegetated,1696202689,None,autumn,Lichens,weighted_area_start,290825553.4
Sparsely vegetated,1696202689,None,autumn,Lichens,weighted_area_end,296320892
Fen,871243422.4,None,autumn,Deciduous shrubs,weighted_area_start,280584697.4
Fen,871243422.4,None,autumn,Deciduous shrubs,weighted_area_end,291888206.3
Fen,871243422.4,None,autumn,Evergreen shrubs,weighted_area_start,140491350.7
Fen,871243422.4,None,autumn,Evergreen shrubs,weighted_area_end,143725682.3
Fen,871243422.4,None,autumn,Forbs,weighted_area_start,6033729.741
Fen,871243422.4,None,autumn,Forbs,weighted_area_end,7112222.824
Fen,871243422.4,None,autumn,Alder,weighted_area_start,5611794.353
Fen,871243422.4,None,autumn,Alder,weighted_area_end,11332052.89
Fen,871243422.4,None,autumn,Birch,weighted_area_start,165859054.1
Fen,871243422.4,None,autumn,Birch,weighted_area_end,171697609.3
Fen,871243422.4,None,autumn,Graminoids,weighted_area_start,68455831.87
Fen,871243422.4,None,autumn,Graminoids,weighted_area_end,58631574.39
Fen,871243422.4,None,autumn,Willow,weighted_area_start,79129102.91
Fen,871243422.4,None,autumn,Willow,weighted_area_end,74481303.6
Fen,871243422.4,None,autumn,Lichens,weighted_area_start,95718856.55
Fen,871243422.4,None,autumn,Lichens,weighted_area_end,90126145.84
Bog,143100,None,autumn,Deciduous shrubs,weighted_area_start,10881
Bog,143100,None,autumn,Deciduous shrubs,weighted_area_end,13959
Bog,143100,None,autumn,Evergreen shrubs,weighted_area_start,15642
Bog,143100,None,autumn,Evergreen shrubs,weighted_area_end,17208
Bog,143100,None,autumn,Forbs,weighted_area_start,2538
Bog,143100,None,autumn,Forbs,weighted_area_end,2817
Bog,143100,None,autumn,Alder,weighted_area_start,1431
Bog,143100,None,autumn,Alder,weighted_area_end,2286
Bog,143100,None,autumn,Birch,weighted_area_start,8541
Bog,143100,None,autumn,Birch,weighted_area_end,8307
Bog,143100,None,autumn,Graminoids,weighted_area_start,14238
Bog,143100,None,autumn,Graminoids,weighted_area_end,15696
Bog,143100,None,autumn,Willow,weighted_area_start,2097
Bog,143100,None,autumn,Willow,weighted_area_end,3258
Bog,143100,None,autumn,Lichens,weighted_area_start,15255
Bog,143100,None,autumn,Lichens,weighted_area_end,15246
Shallows/littoral,25200,None,autumn,Deciduous shrubs,weighted_area_start,0
Shallows/littoral,25200,None,autumn,Deciduous shrubs,weighted_area_end,2493
Shallows/littoral,25200,None,autumn,Evergreen shrubs,weighted_area_start,783
Shallows/littoral,25200,None,autumn,Evergreen shrubs,weighted_area_end,2610
Shallows/littoral,25200,None,autumn,Forbs,weighted_area_start,1215
Shallows/littoral,25200,None,autumn,Forbs,weighted_area_end,648
Shallows/littoral,25200,None,autumn,Alder,weighted_area_start,0
Shallows/littoral,25200,None,autumn,Alder,weighted_area_end,0
Shallows/littoral,25200,None,autumn,Birch,weighted_area_start,0
Shallows/littoral,25200,None,autumn,Birch,weighted_area_end,1251
Shallows/littoral,25200,None,autumn,Graminoids,weighted_area_start,702
Shallows/littoral,25200,None,autumn,Graminoids,weighted_area_end,2808
Shallows/littoral,25200,None,autumn,Willow,weighted_area_start,1809
Shallows/littoral,25200,None,autumn,Willow,weighted_area_end,1287
Shallows/littoral,25200,None,autumn,Lichens,weighted_area_start,270
Shallows/littoral,25200,None,autumn,Lichens,weighted_area_end,1917
Barren,592917652.9,None,autumn,Deciduous shrubs,weighted_area_start,32503626.07
Barren,592917652.9,None,autumn,Deciduous shrubs,weighted_area_end,39356839.48
Barren,592917652.9,None,autumn,Evergreen shrubs,weighted_area_start,128010624
Barren,592917652.9,None,autumn,Evergreen shrubs,weighted_area_end,130786511.5
Barren,592917652.9,None,autumn,Forbs,weighted_area_start,13249351.27
Barren,592917652.9,None,autumn,Forbs,weighted_area_end,11427966.04
Barren,592917652.9,None,autumn,Alder,weighted_area_start,122225.7529
Barren,592917652.9,None,autumn,Alder,weighted_area_end,406620.7765
Barren,592917652.9,None,autumn,Birch,weighted_area_start,12110027.44
Barren,592917652.9,None,autumn,Birch,weighted_area_end,15569741.44
Barren,592917652.9,None,autumn,Graminoids,weighted_area_start,24400671.49
Barren,592917652.9,None,autumn,Graminoids,weighted_area_end,26910222.71
Barren,592917652.9,None,autumn,Willow,weighted_area_start,16553337.42
Barren,592917652.9,None,autumn,Willow,weighted_area_end,15568169.51
Barren,592917652.9,None,autumn,Lichens,weighted_area_start,94717633.13
Barren,592917652.9,None,autumn,Lichens,weighted_area_end,99584558.22
Water,10800,None,autumn,Deciduous shrubs,weighted_area_start,0
Water,10800,None,autumn,Deciduous shrubs,weighted_area_end,747
Water,10800,None,autumn,Evergreen shrubs,weighted_area_start,288
Water,10800,None,autumn,Evergreen shrubs,weighted_area_end,1152
Water,10800,None,autumn,Forbs,weighted_area_start,945
Water,10800,None,autumn,Forbs,weighted_area_end,441
Water,10800,None,autumn,Alder,weighted_area_start,0
Water,10800,None,autumn,Alder,weighted_area_end,0
Water,10800,None,autumn,Birch,weighted_area_start,0
Water,10800,None,autumn,Birch,weighted_area_end,513
Water,10800,None,autumn,Graminoids,weighted_area_start,0
Water,10800,None,autumn,Graminoids,weighted_area_end,1260
Water,10800,None,autumn,Willow,weighted_area_start,576
Water,10800,None,autumn,Willow,weighted_area_end,513
Water,10800,None,autumn,Lichens,weighted_area_start,99
Water,10800,None,autumn,Lichens,weighted_area_end,855
Evergreen forest,225286200,Low,autumn,Deciduous shrubs,weighted_area_start,44485848
