area,name,pft,area_km2,cover_1992,cover_2020,percent_cover_1992,percent_cover_2020,percent_change,relative_percent_change
1.97724E+12,ak_yt,allDecShrub,1977239.594,3.31038E+11,3.89353E+11,16.74243312,19.69175412,3,18
1.97724E+12,ak_yt,allEvShrub,1977239.594,1.50073E+11,1.67562E+11,7.59003609,8.474538786,0.9,11.8
1.97724E+12,ak_yt,allForb,1977239.594,69358412069,76493286308,3.507840542,3.868690803,0.4,11.4
1.97724E+12,ak_yt,alnshr,1977239.594,60565865793,89869868389,3.063152589,4.545218935,1.4,45.2
1.97724E+12,ak_yt,betshr,1977239.594,99746554490,1.10211E+11,5.044737867,5.573980741,0.6,12
1.97724E+12,ak_yt,graminoid,1977239.594,1.97161E+11,1.64406E+11,9.971515627,8.314940362,-1.7,-17
1.97724E+12,ak_yt,salshr,1977239.594,1.054E+11,1.03204E+11,5.330661881,5.219587664,-0.1,-1.9
1.97724E+12,ak_yt,tmlichen,1977239.594,94297094788,80989486964,4.76912839,4.09608867,-0.7,-14.6
3.49442E+11,wah,allDecShrub,349442.3107,70201418472,81596168379,20.0895588,23.35039745,3.3,16.4
3.49442E+11,wah,allEvShrub,349442.3107,27575648345,32565494540,7.891330702,9.319276329,1.4,17.7
3.49442E+11,wah,allForb,349442.3107,12667842819,14513917867,3.625159986,4.153451779,0.6,16.7
3.49442E+11,wah,alnshr,349442.3107,8244632445,12346253498,2.359368684,3.533130683,1.1,45.8
3.49442E+11,wah,betshr,349442.3107,20188894763,22784401717,5.777461443,6.520218366,0.7,12.1
3.49442E+11,wah,graminoid,349442.3107,64889127139,53606448540,18.56933896,15.34057179,-3.3,-17.7
3.49442E+11,wah,salshr,349442.3107,23117081648,23010017658,6.615421471,6.58478294,0,0
3.49442E+11,wah,tmlichen,349442.3107,14342428121,13199017850,4.104376512,3.777166487,-0.3,-7.3
2.82327E+11,porcupine,allDecShrub,282326.9479,48378527150,57155408678,17.1356392,20.24440426,3.1,18.1
2.82327E+11,porcupine,allEvShrub,282326.9479,31191616611,32958089059,11.04804796,11.67373122,0.7,6.4
2.82327E+11,porcupine,allForb,282326.9479,8725065276,9390648780,3.090411787,3.326160981,0.2,6.5
2.82327E+11,porcupine,alnshr,282326.9479,3851356012,7683918564,1.364147504,2.721638377,1.3,92.9
2.82327E+11,porcupine,betshr,282326.9479,14908816521,17874324051,5.280691989,6.331072604,1,18.9
2.82327E+11,porcupine,graminoid,282326.9479,28082603097,24468481490,9.946837632,8.666718382,-1.2,-12.1
2.82327E+11,porcupine,salshr,282326.9479,18909262995,17678820968,6.697647227,6.261825554,-0.4,-6
2.82327E+11,porcupine,tmlichen,282326.9479,14812498705,13107115265,5.246576289,4.642530712,-0.6,-11.5
1.25756E+11,fortymile_ssf,allDecShrub,125756.2933,24903263599,30199415659,19.8027971,24.01423807,4.2,21.2
1.25756E+11,fortymile_ssf,allEvShrub,125756.2933,11829348987,13122611122,9.406566206,10.43495381,1,10.6
1.25756E+11,fortymile_ssf,allForb,125756.2933,1573591973,2020623874,1.251302763,1.606777539,0.3,23.1
1.25756E+11,fortymile_ssf,alnshr,125756.2933,4396244738,7301056955,3.495844719,5.805718953,2.3,65.7
1.25756E+11,fortymile_ssf,betshr,125756.2933,8891839322,10530509454,7.070691326,8.373743514,1.3,18.3
1.25756E+11,fortymile_ssf,graminoid,125756.2933,6391671332,6120767352,5.082585662,4.867165842,-0.2,-3.9
1.25756E+11,fortymile_ssf,salshr,125756.2933,7558312303,7122812820,6.010285534,5.663981208,-0.3,-5
1.25756E+11,fortymile_ssf,tmlichen,125756.2933,8204153280,6405173666,6.523851066,5.093322567,-1.4,-21.5
